subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
1,~5 days per week,90 min - 2 hours,Highly unsatisfied,A few times a week,10 - 20 min,Walk,All the time,Police incident,True,Positive,01/07/2019 @ 08:19 AM,in person,Delays,Frequent route changes,High fares
Q,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,5 - 10 min,For-hire vehicle,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 08:20 AM,in person,Delays,Old trains,Lack of handicap access
N,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,False,Positive,01/07/2019 @ 08:22 AM,in person,Delays,Frequent route changes,Overcrowded trains
E,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/07/2019 @ 08:25 AM,in person,Overcrowded trains,,
A,,60 - 90 min,Very satisfied,A few times a week,20 - 45 min,For-hire vehicle,Only at night,Weather,True,Other / No thoughts,01/07/2019 @ 08:38 AM,in person,,,
7,Everyday / Almost everyday,< 20 min,Very satisfied,Never,20 - 45 min,Take a bus,All the time,,True,,01/07/2019 @ 08:45 AM,in person,High fares,Crime / Safety,Station infrastructure
A,"Weekdays, Mon - Fri",40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Almost never,Signal malfunction,False,Negative,01/07/2019 @ 08:45 AM,in person,High fares,Overcrowded trains,Lack of handicap access
1,~5 days per week,90 min - 2 hours,Neutral,Rarely,10 - 20 min,Wait for next train,Almost never,Waiting for signal change,True,Positive,01/07/2019 @ 08:51 AM,in person,Delays,Station infrastructure,Overcrowded trains
D,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/07/2019 @ 08:57 AM,in person,Delays,Frequent route changes,High fares
7,"Weekdays, Mon - Fri",40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/07/2019 @ 09:00 AM,in person,Delays,Frequent route changes,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Neutral,Everyday,10 - 20 min,Wait for next train,Only at night,Train traffic,False,Positive,01/07/2019 @ 01:34 PM,in person,Delays,Overcrowded trains,
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,All the time,Train traffic,False,Unaware,01/07/2019 @ 01:37 PM,in person,Delays,Frequent route changes,Overcrowded trains
1,"More than once a week, varies",40 - 60 min,Neutral,Rarely,10 - 20 min,Wait for next train,Only on weekends,No reason is given,True,Other / No thoughts,01/07/2019 @ 01:38 PM,in person,High fares,Crime / Safety,
1,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,True,Negative,01/07/2019 @ 01:47 PM,in person,Delays,Crime / Safety,Overcrowded trains
7,~5 days per week,90 min - 2 hours,Not satisfied,Everyday,45 - 60 min,Wait for next train,All the time,No reason is given,False,Positive,01/07/2019 @ 01:50 PM,in person,Delays,Frequent route changes,Overcrowded trains
7,Once a week,20 - 40 min,Neutral,A few times a week,5 - 10 min,,,,True,,01/07/2019 @ 01:51 PM,in person,,,
E,Once a week,40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only at night,Train traffic,False,Positive,01/07/2019 @ 01:52 PM,in person,High fares,Customer service,Lack of handicap access
7,Once a week,,,,,,,,True,,01/07/2019 @ 01:54 PM,in person,,,
7,"More than once a week, varies",< 20 min,Neutral,Rarely,,Wait for next train,Almost never,No reason is given,True,Other / No thoughts,01/07/2019 @ 01:54 PM,in person,Delays,High fares,Old trains
7,Almost never,< 20 min,Neutral,,5 - 10 min,For-hire vehicle,Almost never,No reason is given,True,Other / No thoughts,01/07/2019 @ 01:56 PM,in person,,,
R,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,45 - 60 min,Wait for next train,Only at night,Train traffic,True,Negative,01/07/2019 @ 01:57 PM,in person,Delays,Frequent route changes,Old trains
7,Everyday / Almost everyday,< 20 min,Neutral,A few times a week,10 - 20 min,Use another train,Almost never,Train traffic,True,Unaware,01/07/2019 @ 01:58 PM,in person,Delays,Crime / Safety,Overcrowded trains
7,Once a month,60 - 90 min,Somewhat satisfied,Never,5 - 10 min,Wait for next train,Almost never,No reason is given,True,Negative,01/07/2019 @ 01:58 PM,in person,Crime / Safety,Station infrastructure,Lack of handicap access
7,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,Train traffic,True,Positive,01/07/2019 @ 01:59 PM,in person,Delays,Frequent route changes,Overcrowded trains
1,~5 days per week,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,True,Positive,01/07/2019 @ 01:59 PM,in person,Delays,Frequent route changes,Customer service
R,~5 days per week,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only at night,Waiting for signal change,False,Positive,01/07/2019 @ 02:00 PM,in person,Delays,Frequent route changes,High fares
7,"Weekdays, Mon - Fri",40 - 60 min,Very satisfied,Rarely,5 - 10 min,Take a bus,Almost never,Train traffic,True,Unaware,01/07/2019 @ 02:03 PM,in person,Delays,,
N,"More than once a week, varies",40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,Train traffic,False,Negative,01/07/2019 @ 02:03 PM,in person,Delays,High fares,Crime / Safety
1,~5 days per week,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,All the time,Police incident,False,Negative,01/07/2019 @ 02:03 PM,in person,High fares,Crime / Safety,Overcrowded trains
E,Once a week,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,True,,01/07/2019 @ 02:04 PM,in person,Delays,Frequent route changes,Overcrowded trains
E,Once a month,40 - 60 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,Only at night,Train traffic,False,Positive,01/07/2019 @ 02:05 PM,in person,Delays,Frequent route changes,High fares
R,"More than once a week, varies",20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,,False,Negative,01/07/2019 @ 02:07 PM,in person,Delays,,
7,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,5 - 10 min,Use another train,All the time,Train traffic,False,Positive,01/07/2019 @ 02:11 PM,in person,Delays,High fares,Overcrowded trains
E,~5 days per week,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only at night,Waiting for signal change,False,Negative,01/07/2019 @ 02:12 PM,in person,Delays,,
7,~5 days per week,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,Signal malfunction,True,Unaware,01/07/2019 @ 02:13 PM,in person,Delays,,
7,"More than once a week, varies",40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Negative,01/07/2019 @ 02:14 PM,in person,Frequent route changes,High fares,Station infrastructure
R,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/07/2019 @ 02:18 PM,in person,Delays,Frequent route changes,Overcrowded trains
7,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,Signal malfunction,False,Negative,01/07/2019 @ 02:19 PM,in person,Delays,High fares,Crime / Safety
7,Almost never,20 - 40 min,Somewhat satisfied,Almost never,,Wait for next train,Almost never,No reason is given,True,Unaware,01/07/2019 @ 02:24 PM,in person,Delays,Crime / Safety,Station infrastructure
7,Everyday / Almost everyday,< 20 min,Very satisfied,Everyday,5 - 10 min,Wait for next train,All the time,No reason is given,True,Neutral,01/07/2019 @ 02:26 PM,in person,Delays,Overcrowded trains,
R,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Everyday,10 - 20 min,Take a bus,,Train traffic,False,Unaware,01/07/2019 @ 02:28 PM,in person,Delays,Frequent route changes,Overcrowded trains
R,Almost never,40 - 60 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,Signal malfunction,False,Negative,01/07/2019 @ 02:29 PM,in person,Delays,High fares,Lack of handicap access
7,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,All the time,Train traffic,False,Negative,01/07/2019 @ 02:30 PM,in person,Delays,Frequent route changes,Overcrowded trains
F,Once a month,40 - 60 min,Very satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,False,Unaware,01/07/2019 @ 02:33 PM,in person,,,
R,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 02:34 PM,in person,Delays,Crime / Safety,
E,"More than once a week, varies",40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Neutral,01/07/2019 @ 02:37 PM,in person,Delays,Frequent route changes,Overcrowded trains
7,"Weekdays, Mon - Fri",20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Signal malfunction,False,Negative,01/07/2019 @ 02:39 PM,in person,Delays,Frequent route changes,Overcrowded trains
1,Everyday / Almost everyday,90 min - 2 hours,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,Train traffic,False,Positive,01/07/2019 @ 02:43 PM,in person,High fares,Station infrastructure,Lack of handicap access
R,"Weekdays, Mon - Fri",< 20 min,Somewhat satisfied,Rarely,20 - 45 min,Use another train,Only on weekends,Signal malfunction,True,Negative,01/07/2019 @ 02:43 PM,in person,Frequent route changes,High fares,
R,~5 days per week,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Waiting for signal change,True,Positive,01/07/2019 @ 02:45 PM,in person,Delays,,
R,~5 days per week,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,For-hire vehicle,Only at night,Waiting for signal change,True,Unaware,01/07/2019 @ 02:51 PM,in person,Delays,Crime / Safety,Old trains
7,"Weekdays, Mon - Fri",90 min - 2 hours,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/07/2019 @ 02:51 PM,in person,Delays,High fares,Customer service
7,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,All the time,Signal malfunction,True,Negative,01/07/2019 @ 02:53 PM,in person,Delays,Station infrastructure,Old trains
L,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/07/2019 @ 02:57 PM,in person,Delays,Frequent route changes,Crime / Safety
E,~5 days per week,40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,Signal malfunction,False,Negative,01/07/2019 @ 03:00 PM,in person,Delays,,
F,Everyday / Almost everyday,40 - 60 min,Very satisfied,Rarely,10 - 20 min,Take a bus,Only on weekends,Waiting for signal change,True,Negative,01/07/2019 @ 03:01 PM,in person,Delays,Customer service,Old trains
M,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,20 - 45 min,Wait for next train,Only at night,Signal malfunction,False,Negative,01/07/2019 @ 03:02 PM,in person,Delays,High fares,Customer service
7,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Take a bus,All the time,Waiting for signal change,False,Positive,01/07/2019 @ 03:03 PM,in person,Delays,,
E,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/07/2019 @ 03:05 PM,in person,Delays,Frequent route changes,Crime / Safety
E,Once a week,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only at night,Train traffic,True,Neutral,01/07/2019 @ 03:05 PM,in person,Delays,Old trains,Overcrowded trains
M,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/07/2019 @ 03:07 PM,in person,Delays,High fares,Station infrastructure
7,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Unaware,01/07/2019 @ 03:10 PM,in person,Frequent route changes,Crime / Safety,
1,~5 days per week,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Other / No thoughts,01/07/2019 @ 03:10 PM,in person,Delays,Crime / Safety,
R,Once a week,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,Signal malfunction,False,Negative,01/07/2019 @ 03:11 PM,in person,Delays,High fares,Customer service
N,"More than once a week, varies",90 min - 2 hours,Neutral,Rarely,10 - 20 min,Walk,Only on weekends,Train traffic,False,Unaware,01/07/2019 @ 03:12 PM,in person,Delays,Station infrastructure,Overcrowded trains
R,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Waiting for signal change,True,Positive,01/07/2019 @ 03:14 PM,in person,Delays,High fares,Overcrowded trains
7,"More than once a week, varies",20 - 40 min,,Almost never,,Take a bus,Almost never,,True,Neutral,01/07/2019 @ 03:16 PM,in person,Overcrowded trains,,
1,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Waiting for signal change,False,Negative,01/07/2019 @ 03:19 PM,in person,Delays,High fares,Overcrowded trains
7,Everyday / Almost everyday,< 20 min,Not satisfied,A few times a week,5 - 10 min,Walk,All the time,Train traffic,False,Unaware,01/07/2019 @ 03:20 PM,in person,Delays,Overcrowded trains,
F,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Signal malfunction,False,Positive,01/07/2019 @ 03:21 PM,in person,Frequent route changes,High fares,Customer service
7,~5 days per week,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Police incident,True,Positive,01/07/2019 @ 03:21 PM,in person,Delays,Overcrowded trains,
R,Once a month,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only at night,Train traffic,False,Negative,01/07/2019 @ 03:22 PM,in person,Overcrowded trains,,
E,~5 days per week,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/07/2019 @ 03:23 PM,in person,Crime / Safety,Station infrastructure,Old trains
7,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,No reason is given,True,Negative,01/07/2019 @ 03:25 PM,in person,Delays,High fares,Overcrowded trains
R,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/07/2019 @ 03:26 PM,in person,Delays,Frequent route changes,Overcrowded trains
R,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,All the time,Train traffic,True,Positive,01/07/2019 @ 03:27 PM,in person,Delays,High fares,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 03:28 PM,in person,Delays,High fares,Overcrowded trains
R,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,20 - 45 min,Use another train,Only on weekends,Signal malfunction,False,Negative,01/07/2019 @ 03:31 PM,in person,Delays,,
7,"More than once a week, varies",20 - 40 min,Neutral,Everyday,10 - 20 min,Wait for next train,All the time,Waiting for signal change,False,Negative,01/07/2019 @ 03:32 PM,in person,Delays,High fares,Station infrastructure
7,Once a week,40 - 60 min,Very satisfied,A few times a week,10 - 20 min,Take a bus,Almost never,No reason is given,True,Unaware,01/07/2019 @ 03:33 PM,in person,Delays,Frequent route changes,Old trains
7,"Weekdays, Mon - Fri",60 - 90 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/07/2019 @ 03:35 PM,in person,Delays,Old trains,Overcrowded trains
R,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Other / No thoughts,01/07/2019 @ 03:36 PM,in person,Overcrowded trains,,
R,Everyday / Almost everyday,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Take a bus,Only on weekends,Waiting for signal change,False,Negative,01/07/2019 @ 03:36 PM,in person,Delays,Station infrastructure,Overcrowded trains
7,"Weekdays, Mon - Fri",< 20 min,Very satisfied,Rarely,10 - 20 min,Take a bus,Only on weekends,No reason is given,True,Unaware,01/07/2019 @ 03:38 PM,in person,Crime / Safety,,
E,"More than once a week, varies",40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Use another train,,No reason is given,True,Positive,01/07/2019 @ 03:39 PM,in person,Delays,Frequent route changes,Old trains
R,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,20 - 45 min,Take a bus,Almost never,Signal malfunction,True,Other / No thoughts,01/07/2019 @ 03:41 PM,in person,Delays,High fares,Station infrastructure
7,~5 days per week,< 20 min,Somewhat satisfied,Almost never,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Negative,01/07/2019 @ 03:42 PM,in person,Delays,High fares,Old trains
7,~5 days per week,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only at night,Train traffic,False,Unaware,01/07/2019 @ 03:42 PM,in person,Delays,High fares,Overcrowded trains
F,"More than once a week, varies",20 - 40 min,Highly unsatisfied,Everyday,45 - 60 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/07/2019 @ 03:44 PM,in person,Delays,Frequent route changes,High fares
M,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Almost never,Sick passenger,True,Positive,01/07/2019 @ 03:44 PM,in person,Delays,Frequent route changes,Overcrowded trains
R,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Everyday,5 - 10 min,For-hire vehicle,Only at night,Signal malfunction,False,Positive,01/07/2019 @ 03:47 PM,in person,Delays,Frequent route changes,High fares
7,Everyday / Almost everyday,20 - 40 min,Very satisfied,Everyday,5 - 10 min,Wait for next train,All the time,Train traffic,False,Negative,01/07/2019 @ 03:48 PM,in person,Delays,Crime / Safety,Overcrowded trains
R,"More than once a week, varies",< 20 min,Very satisfied,A few times a week,20 - 45 min,Take a bus,Only on weekends,Signal malfunction,True,Negative,01/07/2019 @ 03:49 PM,in person,Frequent route changes,Old trains,Overcrowded trains
1,~5 days per week,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Bike,All the time,Signal malfunction,True,Negative,01/07/2019 @ 03:52 PM,in person,Delays,Frequent route changes,
7,Everyday / Almost everyday,< 20 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,Only at night,Train traffic,False,Negative,01/07/2019 @ 03:52 PM,in person,Delays,Frequent route changes,High fares
R,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only on weekends,Waiting for signal change,False,Negative,01/07/2019 @ 03:54 PM,in person,Delays,High fares,Crime / Safety
R,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,Everyday,45 - 60 min,Take a bus,All the time,Weather,False,Negative,01/07/2019 @ 03:57 PM,in person,Delays,Overcrowded trains,
7,"More than once a week, varies",20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Negative,01/07/2019 @ 03:59 PM,in person,Delays,Frequent route changes,Overcrowded trains
7,"More than once a week, varies",20 - 40 min,Highly unsatisfied,Everyday,45 - 60 min,Use another train,All the time,Signal malfunction,False,Positive,01/07/2019 @ 04:03 PM,in person,Delays,High fares,Overcrowded trains
1,Once a month,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only at night,Train traffic,True,Positive,01/07/2019 @ 04:03 PM,in person,Delays,Frequent route changes,Station infrastructure
7,"Weekdays, Mon - Fri",20 - 40 min,Very satisfied,Everyday,10 - 20 min,Wait for next train,All the time,No reason is given,False,Positive,01/07/2019 @ 04:13 PM,in person,Delays,Customer service,Overcrowded trains
E,"Weekdays, Mon - Fri",< 20 min,,Everyday,5 - 10 min,Use another train,,Waiting for signal change,False,Negative,01/07/2019 @ 04:13 PM,in person,Delays,Frequent route changes,Customer service
R,Everyday / Almost everyday,40 - 60 min,Not satisfied,,10 - 20 min,Wait for next train,All the time,Train traffic,True,Other / No thoughts,01/07/2019 @ 04:37 PM,in person,Delays,Overcrowded trains,Lack of handicap access
7,~5 days per week,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 04:43 PM,in person,Delays,Frequent route changes,Overcrowded trains
E,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/07/2019 @ 04:46 PM,in person,Delays,Customer service,Overcrowded trains
E,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Everyday,20 - 45 min,Use another train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 04:48 PM,in person,Delays,High fares,Overcrowded trains
E,Everyday / Almost everyday,40 - 60 min,Not satisfied,,,Wait for next train,Only on weekends,Train traffic,False,Positive,01/07/2019 @ 04:53 PM,in person,Delays,High fares,Overcrowded trains
F,"More than once a week, varies",< 20 min,Somewhat satisfied,A few times a week,,Use another train,Almost never,Train traffic,False,Negative,01/07/2019 @ 04:54 PM,in person,Delays,High fares,Overcrowded trains
5,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Signal malfunction,True,Other / No thoughts,01/07/2019 @ 04:55 PM,in person,Delays,Customer service,Overcrowded trains
1,Once a week,20 - 40 min,Not satisfied,Everyday,20 - 45 min,Wait for next train,All the time,Train traffic,True,Positive,01/07/2019 @ 04:56 PM,in person,Delays,Customer service,Overcrowded trains
7,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Negative,01/07/2019 @ 04:56 PM,in person,Delays,High fares,Overcrowded trains
F,Everyday / Almost everyday,60 - 90 min,Very satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,,True,,01/07/2019 @ 04:56 PM,in person,,,
E,~5 days per week,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 04:56 PM,in person,Delays,Frequent route changes,Lack of handicap access
E,"Weekdays, Mon - Fri",40 - 60 min,Neutral,A few times a week,10 - 20 min,Take a bus,All the time,Train traffic,True,Neutral,01/07/2019 @ 05:00 PM,in person,Delays,Crime / Safety,Station infrastructure
E,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only at night,Train traffic,True,Neutral,01/07/2019 @ 05:00 PM,in person,High fares,Customer service,Old trains
F,Everyday / Almost everyday,20 - 40 min,Neutral,Everyday,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 05:00 PM,in person,Overcrowded trains,,
E,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,45 - 60 min,For-hire vehicle,All the time,Waiting for signal change,False,Negative,01/07/2019 @ 05:01 PM,in person,Delays,Frequent route changes,Crime / Safety
F,Everyday / Almost everyday,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/07/2019 @ 05:03 PM,in person,Delays,Frequent route changes,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Waiting for signal change,True,Negative,01/07/2019 @ 05:03 PM,in person,Delays,High fares,Overcrowded trains
F,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,False,Negative,01/07/2019 @ 05:04 PM,in person,Delays,,
7,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,45 - 60 min,Use another train,Only on weekends,Signal malfunction,True,Positive,01/07/2019 @ 05:06 PM,in person,Delays,Frequent route changes,Overcrowded trains
E,Everyday / Almost everyday,< 20 min,Neutral,Almost never,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 05:06 PM,in person,Station infrastructure,Overcrowded trains,
E,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 05:06 PM,in person,Delays,Frequent route changes,High fares
E,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Almost never,Waiting for signal change,False,Negative,01/07/2019 @ 05:08 PM,in person,Delays,Customer service,
2,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only at night,Signal malfunction,True,Neutral,01/07/2019 @ 05:08 PM,in person,Delays,Station infrastructure,Overcrowded trains
